method,L,final_distance_mean,final_distance_std,final_distance_min,final_distance_max,convergence_rate_mean,convergence_rate_std,convergence_ratio_mean,convergence_ratio_std,iterations_mean
BOSW,10,0.00632,0.000825,0.005374,0.006886,0.866165,0.02719,0.013236,0.001727,6.0
BOSW,100,0.000624,3.3e-05,0.000604,0.000662,1.328291,0.010398,0.001306,6.9e-05,6.0
BQSW,10,0.007116,0.003388,0.005077,0.011027,0.853952,0.087748,0.014974,0.007129,6.0
BQSW,100,0.000628,4.2e-05,0.000585,0.00067,1.326268,0.013543,0.00132,8.9e-05,6.0
DBOSW,10,0.008448,0.005712,0.004452,0.01499,0.832786,0.127066,0.017917,0.012113,6.0
DBOSW,100,0.000764,8.8e-05,0.000668,0.000842,1.286018,0.023611,0.00162,0.000187,6.0
EBOSW,10,0.007064,0.001467,0.005661,0.008587,0.845884,0.041675,0.014773,0.003068,6.0
EBOSW,100,0.000854,3.3e-05,0.000817,0.000881,1.265572,0.007871,0.001787,7e-05,6.0
LBOSW,10,0.006461,0.001847,0.004908,0.008504,0.866124,0.055714,0.013511,0.003863,6.0
LBOSW,100,0.001225,0.000172,0.001026,0.001327,1.194776,0.029493,0.002562,0.000361,6.0
NQSW,10,0.022676,0.0,0.022676,0.022676,0.609748,0.0,0.047419,0.0,6.0
NQSW,100,0.00066,0.0,0.00066,0.00066,1.317246,0.0,0.001379,0.0,6.0
OCQSW,10,0.006405,0.0,0.006405,0.006405,0.862582,0.0,0.013394,0.0,6.0
OCQSW,100,0.000646,0.0,0.000646,0.000646,1.321347,0.0,0.001351,0.0,6.0
ODQSW,10,0.006019,0.0,0.006019,0.006019,0.875023,0.0,0.012587,0.0,6.0
ODQSW,100,0.000613,0.0,0.000613,0.000613,1.332005,0.0,0.001281,0.0,6.0
QSW,10,0.004824,0.0,0.004824,0.004824,0.919279,0.0,0.010088,0.0,6.0
QSW,100,0.000781,0.0,0.000781,0.000781,1.283365,0.0,0.001634,0.0,6.0
RBOSW,10,0.000168,6.9e-05,0.000121,0.000248,1.603397,0.077135,0.000347,0.000144,6.0
RBOSW,100,3.8e-05,2.1e-05,2.4e-05,6.3e-05,1.907887,0.10356,7.9e-05,4.4e-05,6.0
RDBOSW,10,0.000109,1.3e-05,9.3e-05,0.000118,1.676078,0.025541,0.000231,2.8e-05,6.0
RDBOSW,100,3.1e-05,1e-05,2.1e-05,4.1e-05,1.930414,0.068727,6.7e-05,2.2e-05,6.0
REBOSW,10,0.000105,8e-06,9.7e-05,0.000112,1.68449,0.015066,0.00022,1.6e-05,6.0
REBOSW,100,4.2e-05,1.4e-05,2.7e-05,5.5e-05,1.876848,0.073653,8.8e-05,3e-05,6.0
RLBOSW,10,0.000106,2e-05,8.6e-05,0.000127,1.685217,0.038885,0.000222,4.3e-05,6.0
RLBOSW,100,4.4e-05,2.3e-05,3e-05,7e-05,1.875114,0.094934,9.2e-05,4.7e-05,6.0
RNQSW,10,0.000102,1.2e-05,9.5e-05,0.000116,1.691052,0.022242,0.000214,2.4e-05,6.0
RNQSW,100,3.3e-05,1e-05,2.2e-05,4.1e-05,1.925433,0.064691,6.8e-05,2e-05,6.0
ROCQSW,10,6.9e-05,1.4e-05,5.8e-05,8.5e-05,1.771443,0.03878,0.000144,2.9e-05,6.0
ROCQSW,100,2.8e-05,3e-06,2.5e-05,3.1e-05,1.94946,0.021882,5.9e-05,6e-06,6.0
RODQSW,10,6.9e-05,1e-05,6e-05,7.9e-05,1.77018,0.028257,0.000144,2.1e-05,6.0
RODQSW,100,3e-05,9e-06,2.2e-05,3.9e-05,1.940259,0.059291,6.3e-05,1.8e-05,6.0
RQSW,10,8.5e-05,2.9e-05,6.8e-05,0.000118,1.733609,0.062637,0.000178,6e-05,6.0
RQSW,100,5.2e-05,1e-05,4e-05,6e-05,1.828196,0.042851,0.000109,2.2e-05,6.0
RRNQSW,10,0.000231,1.3e-05,0.000216,0.000239,1.527603,0.011315,0.000482,2.7e-05,6.0
RRNQSW,100,3.8e-05,1.6e-05,2.3e-05,5.5e-05,1.898958,0.089344,8e-05,3.4e-05,6.0
RRQSW,10,0.000134,3.2e-05,0.000107,0.000169,1.639497,0.04614,0.00028,6.6e-05,6.0
RRQSW,100,3.4e-05,1.2e-05,2.6e-05,4.9e-05,1.916039,0.067799,7.2e-05,2.6e-05,6.0
RSQSW,10,7.7e-05,3e-06,7.5e-05,8e-05,1.747139,0.006746,0.000161,5e-06,6.0
RSQSW,100,3.3e-05,1e-05,2.1e-05,4e-05,1.924888,0.071687,6.9e-05,2.2e-05,6.0
RTBOSW,10,0.000105,1.1e-05,9.2e-05,0.000113,1.686041,0.021519,0.000219,2.3e-05,6.0
RTBOSW,100,4e-05,1.6e-05,2.4e-05,5.6e-05,1.888709,0.087567,8.4e-05,3.4e-05,6.0
SQSW,10,0.005634,0.0,0.005634,0.005634,0.888246,0.0,0.011781,0.0,6.0
SQSW,100,0.000689,0.0,0.000689,0.000689,1.3086,0.0,0.00144,0.0,6.0
SW,10,0.000101,3.9e-05,7.1e-05,0.000146,1.702162,0.07425,0.000211,8.2e-05,6.0
SW,100,4.2e-05,1.6e-05,3.1e-05,6e-05,1.878019,0.071799,8.7e-05,3.4e-05,6.0
TBOSW,10,0.01026,0.002995,0.008185,0.013693,0.773676,0.055218,0.021452,0.006262,6.0
TBOSW,100,0.00138,0.000145,0.001214,0.001483,1.170414,0.021722,0.002885,0.000304,6.0
